Venue1_Id,Venue2_Id,Venue1_Name,Venue2_Name,Venue1_StreetAddress,Venue2_StreetAddress,Similarity
312,998,"Cricket Club of India, Mumbai","Cricket Club of India, Mumbai (CCI)",Brabourne Stadium Dinshaw Vachha Road Churchgate,"Brabourne Stadium, Dinshaw Vachha Road, Churchgate,",0.9166666666666666
321,375,Midwest Badminton Club,MIDWEST BADMINTON CLUB Naperville,2019 Corporate Lane Suite 103,2019 Corporate Lane Suite 103,0.8888888888888888
321,384,Midwest Badminton Club,Midwest Badminton Club - Naperville,2019 Corporate Lane Suite 103,2019 Corporate Lane Suite 103,0.8888888888888888
321,1012,Midwest Badminton Club,Midwest Badminton Club-Naperville,2019 Corporate Lane Suite 103,2019 Corporate Lane Suite 103,0.8888888888888888
323,505,TBR – Badminton Hall,TBR Hall,Gnoðavogi 1,Gnoðavogi 1,0.8
328,413,Shannon Pohl Badiminton Academy,Shannon Pohl Badminton Academy,Adversity Volleyball Center 710 Corporate Woods Pkwy.,Adversity Volleyball Center 710 Corporate Woods Pkwy,0.8333333333333334
338,497,PALABADMINTON,PalaBadminton,"Via Giovanni Cimabue, 24",Via Giovanni Cimabue 24,1.0
338,1030,PALABADMINTON,Palabadminton,"Via Giovanni Cimabue, 24",Via Giovanni Cimabue 24,1.0
339,650,San Gabriel Valley Badminton Club 2,San Gabriel Valley Badminton Club 2: Pomona,3410 Pomona Blvd,3410 Pomona Blvd,1.0
339,700,San Gabriel Valley Badminton Club 2,San Gabriel Valley Badminton Club (SGVBC),3410 Pomona Blvd,3410 Pomona Blvd,0.8
339,897,San Gabriel Valley Badminton Club 2,San Gabriel Valley Badminton Club - Pomona,3410 Pomona Blvd,3410 Pomona Blvd,0.8888888888888888
352,1116,Sport Hall medvode,Sport hall Medvode,Ostrovrharjeva 4,Ostrovrharjeva 4,1.0
360,533,Bintang Milpitas,Bintang Badmitnon,746 S. Milpitas Blvd.,746 S Milpitas Blvd,0.8333333333333334
375,384,MIDWEST BADMINTON CLUB Naperville,Midwest Badminton Club - Naperville,2019 Corporate Lane Suite 103,2019 Corporate Lane Suite 103,1.0
375,1012,MIDWEST BADMINTON CLUB Naperville,Midwest Badminton Club-Naperville,2019 Corporate Lane Suite 103,2019 Corporate Lane Suite 103,1.0
384,1012,Midwest Badminton Club - Naperville,Midwest Badminton Club-Naperville,2019 Corporate Lane Suite 103,2019 Corporate Lane Suite 103,1.0
399,727,Badminton Centrum,Badminton Centrum Pécs,Basamalom utca 33.,Basamalom utca 33.,0.8333333333333334
402,1248,A.Le Coq Sport Hall,A. Le Coq Sport hall,Ihaste tee 7,Ihaste tee 7,1.0
