Venue1_Id,Venue2_Id,Venue_Name1,Venue_Name2,Similarity
631,1299,Shannon Pohl Badminton Academy / Adversity Volleyball Center,Shannon Pohl Badminton Academy/Adversity Volleyball Center,1.0
636,1323,National Badminton Centre,National Badminton Center,0.9130434782608695
642,985,Arena,ARENA,1.0
655,764,Sport hall “Vasil Levsky”,"Sport hall ""Vasil Levski""",0.8636363636363636
655,906,Sport hall “Vasil Levsky”,Sport hall 'Vasil Levski',0.8636363636363636
655,946,Sport hall “Vasil Levsky”,"Sport Hall ""Vasil Levski""",0.8636363636363636
655,1315,Sport hall “Vasil Levsky”,Sport Hall “Vasil Levski”,0.9545454545454546
657,1285,Atlanta Badminton Club,Atlanta Badminton Club 2,0.9523809523809523
659,675,Športové centrum M-SPORT Trenčín,Športové centrum M-Šport Trenčín,0.9655172413793104
659,1041,Športové centrum M-SPORT Trenčín,Sportove centrum M-Sport Trencin,0.8620689655172413
659,1092,Športové centrum M-SPORT Trenčín,Sportove centrum M-sport Trencin,0.8620689655172413
659,1209,Športové centrum M-SPORT Trenčín,Sportove Centrum M-sport Trencin,0.8620689655172413
667,798,"""NEPTŪNO"" Sports Hall","""NEPTŪNO"" sports hall",1.0
667,953,"""NEPTŪNO"" Sports Hall","""NEPTŪNO"" Sports hall",1.0
671,1443,FEDERACION NACIONAL DE BADMINTON,Federación Nacional de Bádminton,0.9310344827586207
675,1041,Športové centrum M-Šport Trenčín,Sportove centrum M-Sport Trencin,0.8275862068965517
675,1092,Športové centrum M-Šport Trenčín,Sportove centrum M-sport Trencin,0.8275862068965517
675,1209,Športové centrum M-Šport Trenčín,Sportove Centrum M-sport Trencin,0.8275862068965517
678,832,"Sport Hall ""Europe""",Sport Hall „Europe“,0.8823529411764706
682,1462,GOR AMONGROGO,GOR AMONG RAGA,0.8333333333333334
684,690,Palacio Gioriver Arias,Palacio Georiver Arias,0.95
696,801,Gentofte Badminton Hal tbc,Gentofte Badminton hal,0.8695652173913043
700,897,San Gabriel Valley Badminton Club (SGVBC),San Gabriel Valley Badminton Club - Pomona,0.8055555555555556
704,994,City Sports Hall Orlova,City Sports Hall Orlová,0.95
708,848,Lobatse Sports Complex,Lobtase Sports Complex,0.9
711,1002,Olympic Youth Development Centre,Olympic youth development centre,1.0
720,1165,Axiata Arena,AXIATA ARENA,1.0
730,740,"Campus Recreation and Wellness Centre, UOIT",Campus Recreation and Wellness Centre (UOIT),0.9487179487179487
731,828,Sportove centrum M-SPORT,Sportove centrum M-Sport,1.0
731,874,Sportove centrum M-SPORT,Sportove Centrum M-Sport,1.0
742,1208,DOM SPORTOVA,Dom sportova,1.0
764,906,"Sport hall ""Vasil Levski""",Sport hall 'Vasil Levski',0.9090909090909091
764,946,"Sport hall ""Vasil Levski""","Sport Hall ""Vasil Levski""",1.0
764,1315,"Sport hall ""Vasil Levski""",Sport Hall “Vasil Levski”,0.9090909090909091
769,922,QUAYCENTRE,Quaycentre,1.0
769,1229,QUAYCENTRE,Quay Centre,1.0
770,910,Polideportivo 2 - CAR Videna,POLIDEPORTIVO 2 - CAR VIDENA,1.0
797,952,CREPS BORDEAUX - Gymnase HAND/BAD,Creps Bordeaux - Gymnase Hand/Bad,1.0
797,1078,CREPS BORDEAUX - Gymnase HAND/BAD,CREPS Bordeaux - Gymnase Hand/Bad,1.0
798,953,"""NEPTŪNO"" sports hall","""NEPTŪNO"" Sports hall",1.0
801,956,Gentofte Badminton hal,Gentofte Badminton Club,0.8095238095238095
801,1079,Gentofte Badminton hal,Gentofte Badmintonklub,0.8095238095238095
803,1080,Hvidovre Badminton Club,Hvidovre Badminton Klub,0.9523809523809523
811,1194,Club28 Badminton Philadelphia,Club28 badminton Philadelphia,1.0
811,1342,Club28 Badminton Philadelphia,Club 28 badminton Philadelphia,1.0
819,1088,Gimnasio Teodoro Palacios Flores,GIMNASIO TEODORO PALACIOS FLORES,1.0
825,961,NAS Sports Complex,NAS Sports complex,1.0
828,874,Sportove centrum M-Sport,Sportove Centrum M-Sport,1.0
829,876,Triangle Badminton Club (TBC),Triangle Badminton Club,0.8076923076923077
833,972,Delfi sports centre,Delfi Sports Centre,1.0
833,1380,Delfi sports centre,Delfi Sporto Centras,0.8333333333333334
842,917,Yan Long Badminton Club,YAN LONG BADMINTON CLUB,1.0
856,967,National Sports counsil,National Sports Council,0.9523809523809523
865,1019,Indoor Stadium Huamark,Indoor stadium Huamark,1.0
870,1076,Complexe Sportif Regional,Complexe Sportif Régional,0.9565217391304348
871,1029,Vall d’Hebron Olympic Sports Centre,Vall d'Hebron Olympic Sports Centre,0.967741935483871
875,1032,Badmintonhall DEGIRO,Badmintonhall DEGIRO hall,0.8260869565217391
877,1091,Arena Badminton Club,ARENA BADMINTON CLUB,1.0
891,1356,Arena Badminton & Sports Club,Arena Badminton & Sport Club,0.8
899,1381,Banthongyord badminton school,Banthongyord Badminton School,1.0
906,946,Sport hall 'Vasil Levski',"Sport Hall ""Vasil Levski""",0.9090909090909091
906,1315,Sport hall 'Vasil Levski',Sport Hall “Vasil Levski”,0.9090909090909091
907,912,National Athletic Center,National Athletic Center Mikra,0.8148148148148148
915,1154,Sport hall Marino Cvetkovic,Sport hall Marino Cvetković,0.9583333333333334
915,1446,Sport hall Marino Cvetkovic,Sport Hall Marino Cvetković,0.9583333333333334
918,1299,Shannon Pohl Badminton Academy (Adveristy Volleyball Center),Shannon Pohl Badminton Academy/Adversity Volleyball Center,0.9259259259259259
919,1039,Zemgales Olimpiskais Centrs,Zemgales Olimpiskais centrs,1.0
922,1229,Quaycentre,Quay Centre,1.0
944,1320,Polideportivo 3,Polideportivo 1,0.9285714285714286
946,1315,"Sport Hall ""Vasil Levski""",Sport Hall “Vasil Levski”,0.9090909090909091
952,1078,Creps Bordeaux - Gymnase Hand/Bad,CREPS Bordeaux - Gymnase Hand/Bad,1.0
956,1079,Gentofte Badminton Club,Gentofte Badmintonklub,0.9523809523809523
970,1006,Atlanta Recreation club,Atlanta Recreation Club,1.0
970,1047,Atlanta Recreation club,ATLANTA RECREATION CLUB,1.0
972,1380,Delfi Sports Centre,Delfi Sporto Centras,0.8333333333333334
982,983,Egyptian Badminton Federation,Algerian badminton federation,0.8148148148148148
996,1014,Smashville MainLine,Smashville Mainline,1.0
1000,1112,Sporthall Brežice,Sporthall Brezice,0.9375
1006,1047,Atlanta Recreation Club,ATLANTA RECREATION CLUB,1.0
1007,1043,IBC 2,IBC2,1.0
1008,1143,Santa Fe Springs Badminton Club,Santa Fe Springs Badminton CLub,1.0
1024,1094,Club28 Badminton,Club 28 Badminton,1.0
1024,1187,Club28 Badminton,Club28 badminton,1.0
1041,1092,Sportove centrum M-Sport Trencin,Sportove centrum M-sport Trencin,1.0
1041,1209,Sportove centrum M-Sport Trencin,Sportove Centrum M-sport Trencin,1.0
1067,1138,New Jersey Badminton Club,New Jersey Badminton CLub,1.0
1072,1227,Sigulda sports centre,Sigulda Sports Center,0.8947368421052632
