Tournament1,Tournament2,SharedPlayers
XXII Pan Am Individual Championships 2018,IV GUATEMALA INTERNATIONAL JUNIOR 2017,31
XXII Pan Am Individual Championships 2018,El Salvador International 2018,30
XXII Pan Am Individual Championships 2018,4th Mercosul International Series 2017,16
XXII Pan Am Individual Championships 2018,Guatemala Junior International 2014,9
XXIV Pan Am Individual Championships 2021,XXV Pan Am Individual Championships 2022,54
XXIV Pan Am Individual Championships 2021,Peru International 2021,34
BARFOOT & THOMPSON New Zealand Open 2018,SKYCITY New Zealand Open 2017,71
BARFOOT & THOMPSON New Zealand Open 2018,BARFOOT & THOMPSON New Zealand Open 2019,61
Sydney International 2019,Sydney International 2018,54
Sydney International 2019,VICTOR Oceania Championships 2020,41
Gwangju Korea Masters 2019,Korea Open 2019,101
2016 Yonex/K & D Graphics International Challenge,2017 Yonex/K&D Graphics International Challenge,44
2016 Yonex/K & D Graphics International Challenge,2015 K&D Graphics / Yonex Grand Prix,44
2010 MBBC Jr International,2013 MBBC Jr International,15
2010 MBBC Jr International,2012 MBBC Jr International,14
TOTAL BWF World Championships 2018,TOTAL BWF World Championships 2017,197
TOTAL BWF World Championships 2018,YONEX French Open 2018,185
TOTAL BWF World Championships 2018,BLIBLI Indonesia Open 2018,183
TOTAL BWF World Championships 2018,YONEX All England Open Badminton Championships 2019,182
TOTAL BWF World Championships 2018,YONEX All England Open 2018,177
TOTAL BWF World Championships 2018,PERODUA Malaysia Masters 2018,145
TOTAL BWF World Championships 2018,Badminton Asia Championships 2018,136
TOTAL BWF World Championships 2018,2018 European Championships,123
TOTAL BWF World Championships 2018,TOYOTA Thailand Open 2018,122
BARFOOT & THOMPSON New Zealand Open 2019,CROWN GROUP Australian Open 2019,125
CROWN GROUP Australian Open 2019,YONEX Chinese Taipei Open 2019,113
Macau Open 2019,YONEX Chinese Taipei Open 2019,87
2017 YONEX US Open,2017 YONEX Canada Open,178
2017 YONEX US Open,TOTAL BWF World Championships 2017,92
2017 YONEX US Open,YONEX US Open,70
Spanish International 2019,Scottish Open 2018,89
Spanish International 2019,Azerbaijan International 2019,77
YONEX Akita Masters 2019,YONEX Osaka International Challenge 2019,68
Maldives International Challenge 2019,Maldives International Future Series 2019,66
Maldives International Challenge 2019,Dubai International Challenge 2019,60
Maldives International Challenge 2019,IDBI Federal Life Insurance Hyderabad Open 2019,57
Maldives International Challenge 2019,FLEET Mauritius International 2019,36
Maldives International Challenge 2019,Lagos International Badminton Classics 2019,33
2017 Yonex/K&D Graphics International Challenge,2017 Yonex/K&D Graphics International Series,45
VIII Santo Domingo Open,Dominican Open 2018,26
VIII Santo Domingo Open,II Santo Domingo Junior International,26
YONEX Chinese Taipei Open 2018,YONEX Chinese Taipei Open 2019,100
XXI Pan American Championships 2017,XVIII Giraldilla International,20
Li-Ning Kason Dave Freeman Open 2013,Dave Freeman Open 2014,89
Li-Ning Kason Dave Freeman Open 2013,California State Games 2012,29
SGVBC Summer Smash 2012,SGVBC Spring Swing 2013,90
SGVBC Summer Smash 2012,2013 LABC Chinese New Year Tournament,81
SGVBC Summer Smash 2012,SGVBC Winter Fest 2012,46
SGVBC Summer Smash 2012,5th Annual Viking Tournament,28
SGVBC Summer Smash 2012,2012 GBA Ladies Singles Championships,13
Little Saigon Tet Tournament 2021,Little Saigon Tet Tournament 2022,71
Little Saigon Tet Tournament 2021,Little Saigon Spring Open 2018,20
Little Saigon Tet Tournament 2021,1ST TERRY CUP,15
Little Saigon Tet Open 2024,QwQ's ULTIMATE Badminton Kup 3.0 - UwU Series,123
Little Saigon Tet Open 2024,Little Saigon Summer Sparring 2023,110
2013 Wilson MIT Boston Open,2012 Wilson Boston Open,84
2010 Wilson MIT Boston Open,2011 Wilson MIT Boston Open,74
2016 Yonex Boston Open,2017 Yonex Boston Open,77
2016 Yonex Boston Open,2011 RI Open,4
2016 Yonex Boston Open,SMASHVILLE 2016 Tropical BCDs,2
2011 Wilson MIT Boston Open,2012 Wilson Boston Open,78
2012 USBDF Winter Junior Internationals(U19-BWF),2012 USBDF Winter Junior Internationals,47
2016 Synergy Open,2017 Bintang Junior Open,32
2012 USBDF Winter Junior Internationals,2013 SoCal Regional Junior Ranking Tournament,43
BWF World Junior Championships 2012 for EYE - Level Cups,SCG BWF World Junior Championships 2013,125
BWF World Junior Championships 2012 for EYE - Level Cups,YONEX BELGIAN JUNIOR 2012,41
2014 LABC Summer Bash Tournament,2015 LABC Summer Bash,65
2014 LABC Summer Bash Tournament,SGVBC Fall Classic 2014,61
2014 LABC Summer Bash Tournament,2014 LABC Thanksgiving Tournament,47
2014 LABC Summer Bash Tournament,All American Fall Classic,19
2014 LABC Chinese New Year Tournament,2013 LABC Thanksgiving Tournament,71
2014 LABC Chinese New Year Tournament,SGVBC Summer Smash 2013,65
Bintang Winter Junior Open,2012 Northern California Super Regional Badminton Tournament,162
2016 USAB Collegiate Nationals,UCLA Bruin Open 2016,24
SGVBC Summer Smash 2015,2015 LABC Summer Bash,68
2011 Northern California Junior Open,2012 Northern California Super Regional Badminton Tournament,143
Jaya Raya Indonesia Junior International Challenge 2014,Pembangunan Jaya Raya Yonex Sunrise Junior Grand Prix 2016 (Under 19),44
Osaka International Challenge Badminton Championships 2015,Osaka International Challenge Badminton Championships 2014,94
Osaka International Challenge Badminton Championships 2015,Chinese Taipei Grand Prix,85
USM Victor International Challenge 2016,Bangka Belitung Indonesia Masters 2018,57
Bangka Belitung Indonesia Masters 2018,PAYTREN BERKAT ABADI Indonesia International Challenge 2018,98
Bangka Belitung Indonesia Masters 2018,YUZU Indonesia Masters 2019,96
Bangka Belitung Indonesia Masters 2018,CIPUTRA HANOI - YONEX SUNRISE Vietnam International Challenge 2018,68
SGVBC Spring Swing 2010,SGVBC Summer Smash 2010,89
PAYTREN BERKAT ABADI Indonesia International Challenge 2018,Singapore International Series 2018,54
2010 UCLA Bruin Open,SGVBC Summer Smash 2010,70
Yonex Sunrise Vietnam GP Open 2014,YONEX SUNRISE INDONESIA OPEN,80
Yonex Sunrise Indonesian Masters 2015,YONEX SUNRISE INDONESIA OPEN,123
Yonex Sunrise Indonesian Masters 2015,The Indian Club Centenary Li-Ning Bahrain International Challenge 2014,27
2010 Yonex Puccini Texas Championships,2010 Texins Badminton Open,65
2010 Yonex Puccini Texas Championships,2010 Yonex Houston Open Tournament,55
2010 Yonex Puccini Texas Championships,Puccini Texas Championship 2011,53
