Tournament1,Tournament2,SharedPlayers
FZ FORZA OPEN 2016 NC,2016 PAANC 3rd Annual Charity Badminton Tournament,26
FZ FORZA OPEN 2016 NC,BNC Club Championship 2017,19
2017 SNP OPEN,2016 SNP OPEN,53
2017 SNP OPEN,2018 SNP OPEN,45
2024 Husky Open,2024 Yonex Anteater Collegiate Championship,57
2024 Husky Open,2019 Husky Summer Smash,22
2019 Evergreen Open at NVBC,2019 YONEX DC Open,32
2015 Raleigh Smash at NC State,2016 SNP OPEN,42
DCJO2015,2014 New Jersey Junior Championships Super Regional,77
DCJO2015,Mid-Atlantic Junior/Collegiate Badminton Championships 2015,73
DCJO2015,ECBC Junior Open 2015,66
BNC OPEN 2019,"FZ FORZA OPEN 2018 $12,000",89
BNC OPEN 2019,2019 Triangle OPEN,76
BNC OPEN 2019,BNC Club Championship 2019,42
BNC OPEN 2019,BNC Monday League 2,13
BNC OPEN 2019,GCKA2020Badminton,1
Charlotte Open 2015,OCCAAF Badminton Open 2015,22
The Al Shiem Cup Greensboro Open 2015,"Al Shiem Cup, Greensboro Open 2016",34
2019 Triangle OPEN,2018 TBC JUNIOR TOURNAMENT - OCT,31
NVBC-Evergreen2016,2017 Evergreen Open at NVBC,46
Davis Spring Open 2024,Davis Spring Open 2023,75
Davis Spring Open 2024,UC Davis Interclub Tournament '24,21
2019 weBadminton Charity Tournament,2019 YONEX CBA NorCal OPEN REGIONAL CHAMPIONSHIPS,85
2019 weBadminton Charity Tournament,2019 Education 2030 Charity Open,50
Rochester Charity Tournament 2014,Rochester Fall Badminton Open 2014,27
University of Kentucky 2022 Spring Badminton Tournament,Louisville Badminton Open 2023,7
Rochester Fall Badminton Open 2014,Rochester Charity Tournament 2015,30
Rochester Spring Charity Tournament,2011 Rochester Fall Classic,33
Rochester Charity Tournament 2015,Rochester Open 2015,28
Rochester Open 2012,2011 Rochester Fall Classic,38
Rochester Open 2012,Charity Tournament 2013,27
UofM Open Spring 2022,2022 U of M Fall Open,30
2016 New Jersey Junior Open,2016 IBC Junior Championships,83
2016 New Jersey Junior Open,2017 New England Junior Open,62
2018 ZBTC Open Local Championships,TianMu Junior League Series - April,28
2020 EGRET CLOSED REGIONAL CHAMPIONSHIPS,2020 MBC OPEN LOCAL CHAMPIONSHIPS,100
2020 EGRET CLOSED REGIONAL CHAMPIONSHIPS,2019 YONEX SPBA MIDWEST OPEN REGIONAL CHAMPIONSHIPS,85
2021 USAB NORCAL Elite Badminton Center CLOSED REGIONAL CHAMPIONSHIPS,2021 USAB YONEX SGVBC SOCAL OPEN REGIONAL CHAMPIONSHIPS,176
Badmintology 10.5 - Baddi Royale Endgame 2019,Badmintology 10.4 - Hippity Baddi Hopper Open 2019,74
Badmintology 10.5 - Baddi Royale Endgame 2019,Badmintology 11.1 - Ultimate Shuttle Open 2019,72
Badmintology 10.5 - Baddi Royale Endgame 2019,Badmintology Lunar Madness Open 2012,11
2018 Yonex SoCal LABC Open Regional Championships,2019 USBDF SoCal CLOSED REGIONAL CHAMPIONSHIPS,114
2018 Yonex SoCal LABC Open Regional Championships,LABC Closed Regional Championships,92
2018 Yonex SoCal LABC Open Regional Championships,2017 SDBCC Open Local Championships,59
2018 Yonex SoCal LABC Open Regional Championships,2018 Yonex Dave Freeman Jr. Open Local Championships,56
2019 ZBTC OPEN LOCAL CHAMPIONSHIPS,2019 YONEX CBA NorCal OPEN REGIONAL CHAMPIONSHIPS,205
2019 Northwest OPEN REGIONAL CHAMPIONSHIPS,2019 Harbour Pointe OPEN LOCAL CHAMPIONSHIPS,84
2019 Northwest OPEN REGIONAL CHAMPIONSHIPS,2018 SBC CLOSED REGIONAL CHAMPIONSHIPS,80
2019 Northwest OPEN REGIONAL CHAMPIONSHIPS,2019 SBC OPEN LOCAL CHAMPIONSHIPS,68
2019 Northwest OPEN REGIONAL CHAMPIONSHIPS,2019 Oregon Badminton Academy OPEN LOCAL CHAMPIONSHIPS,57
2024 YONEX SOCAL ARENA OPEN REGIONAL CHAMPIONSHIPS & SELECTION EVENT FOR 2024 SHONAI INVITATIONAL,2023 YONEX CBA NORCAL OPEN REGIONAL CHAMPIONSHIPS,421
2024 YONEX SOCAL ARENA OPEN REGIONAL CHAMPIONSHIPS & SELECTION EVENT FOR 2024 SHONAI INVITATIONAL,2024 YONEX DAVE FREEMAN JR. OPEN LOCAL CHAMPIONSHIPS,109
2024 YONEX SOCAL ARENA OPEN REGIONAL CHAMPIONSHIPS & SELECTION EVENT FOR 2024 SHONAI INVITATIONAL,2023 YONEX SGVBC SOCAL CLOSED REGIONAL CHAMPIONSHIPS,107
2024 YONEX SOCAL ARENA OPEN REGIONAL CHAMPIONSHIPS & SELECTION EVENT FOR 2024 SHONAI INVITATIONAL,2024 USAB SOCAL JUNIOR DEVELOPMENT CHAMPIONSHIPS,87
2024 YONEX SOCAL ARENA OPEN REGIONAL CHAMPIONSHIPS & SELECTION EVENT FOR 2024 SHONAI INVITATIONAL,RisingStars - Sonic Smash Mini Series #1,54
2018 USA BADMINTON NEBA Open Regional Championships,MassBad 2019 Northeast Juniors CRC,85
2018 USA BADMINTON NEBA Open Regional Championships,IBC Junior Championships,81
2020 MBC OPEN LOCAL CHAMPIONSHIPS,2019 MBC OPEN LOCAL CHAMPIONSHIPS,92
2020 NORCAL BINTANG CLOSED REGIONAL CHAMPIONSHIPS,2019 YONEX CBA NorCal OPEN REGIONAL CHAMPIONSHIPS,257
2019 UBC OPEN LOCAL CHAMPIONSHIPS,2019 YONEX CBA NorCal OPEN REGIONAL CHAMPIONSHIPS,183
2018 YONEX Junior National Championships,2018 Northwest Open Regional Championships,230
2018 YONEX Junior National Championships,2018 SPBA Midwest Open Regional Championships,223
2018 YONEX Junior National Championships,Junior International Trial For 2019 Pan Am Junior Championships USAB Team Selection,158
2018 YONEX Junior National Championships,ClearOne Open Regional Championships,126
2018 YONEX Junior National Championships,2017 NJBC Open Regional Championships,119
2018 YONEX Junior National Championships,2021 YONEX USA Badminton National Adult Championships,44
2016 Boston Junior Open Super Regional,2016 IBC Junior Championships,86
2020 USA BADMINTON YONEX LABC SOCAL OPEN REGIONAL CHAMPIONSHIPS,2019 YONEX CBA NorCal OPEN REGIONAL CHAMPIONSHIPS,275
2020 USA BADMINTON YONEX LABC SOCAL OPEN REGIONAL CHAMPIONSHIPS,2019 SOCAL ARENA CLOSED REGIONAL CHAMPIONSHIPS,119
2020 USA BADMINTON YONEX LABC SOCAL OPEN REGIONAL CHAMPIONSHIPS,2019 SMASH! BADMINTON SAN DIEGO OPEN LOCAL CHAMPIONSHIPS,107
2020 USA BADMINTON YONEX LABC SOCAL OPEN REGIONAL CHAMPIONSHIPS,2020 USA BADMINTON Dave Freeman Open Local Championships,77
2020 USA BADMINTON YONEX LABC SOCAL OPEN REGIONAL CHAMPIONSHIPS,Southern Section Individual Championships 2023,33
2020 USA BADMINTON YONEX LABC SOCAL OPEN REGIONAL CHAMPIONSHIPS,Mayor's Cup 2019,29
2018 MBC Winter Open Local Championships,2018 Egret-Chicago Closed Regional Championships,78
2023 YONEX CBA NORCAL OPEN REGIONAL CHAMPIONSHIPS,2024 AMERICAN BADMINTON CONSORTIUM OPEN LOCAL CHAMPIONSHIPS,210
2023 YONEX CBA NORCAL OPEN REGIONAL CHAMPIONSHIPS,2023 Spring BWB NorCal Practice Tournament for Earthquake Relief,148
2023 YONEX CBA NORCAL OPEN REGIONAL CHAMPIONSHIPS,U17/U15 Bay Area Sparring League Doubles Mini Tournament #10 102223,45
2023 YONEX CBA NORCAL OPEN REGIONAL CHAMPIONSHIPS,Bay Area Elite Sparrig League U17/U15 Doubles Tournament 092423,43
2023 YONEX CBA NORCAL OPEN REGIONAL CHAMPIONSHIPS,Bay Area Elite Sparring League U17/U15/U13 Mini Single Tournament 093023,38
2023 YONEX CBA NORCAL OPEN REGIONAL CHAMPIONSHIPS,Bay Area Elite Sparring League U15/U13 Mini Tournament #11 102823,28
2023 YONEX CBA NORCAL OPEN REGIONAL CHAMPIONSHIPS,NorCal Youth League Winter 2023,13
2017 LISC Winter Junior Open,2017 NJBC Open Regional Championships,78
2018 SPBA Midwest Open Regional Championships,2018 Egret-Chicago Closed Regional Championships,73
MassBad 2019 Northeast Juniors CRC,2020 ROYAL DC JUNIOR CLOSED REGIONAL CHAMPIONSHIPS,71
2018 LISC-CRC,2017 NJBC Open Regional Championships,91
2018 LISC-CRC,2017 IBC Junior Championship - Zhiyu Cup,82
2018 LISC-CRC,2017 DC Junior OLC,53
XXVI Pan Am Junior Championships U11-U17-U19,XXVII Pan Am junior Championships U11 - U17,79
XXVI Pan Am Junior Championships U11-U17-U19,XXVIII Pan Am Junior Championships U11/U19,78
XXVI Pan Am Junior Championships U11-U17-U19,Carebaco U19 International,25
2019 YONEX SPBA MIDWEST OPEN REGIONAL CHAMPIONSHIPS,2019 Egret Open Local Championship,82
2019 YONEX SPBA MIDWEST OPEN REGIONAL CHAMPIONSHIPS,2019 MBC CLOSED REGIONAL CHAMPIONSHIPS,81
2018 New England Junior Open,2019 New England Junior Open,41
XXVII Pan Am junior Championships U11 - U17,XXVII Pan Am Junior Championships U19,87
XXVII Pan Am junior Championships U11 - U17,Brazil Junior International 2019,20
XXVII Pan Am junior Championships U11 - U17,IV RANKING NACIONAL FDPB 2015,13
XXVII Pan Am junior Championships U11 - U17,Argentina Junior U19 International 2017,12
XXVII Pan Am junior Championships U11 - U17,Temuco Junior 2018,12
2020 USA BADMINTON YONEX FRISCO BADMINTON SOUTH OPEN REGIONAL CHAMPIONSHIPS,2020 Houston South Closed Regional Championships,77
State Games of America 2011,California State Games 2010,31
2018 EDBA Fall Junior Open,2019 EDBA Junior Open,69
2018 EDBA Fall Junior Open,2018 EDBA Junior Open,56
2018 EDBA Fall Junior Open,2019 EDBA Fall Junior Open,40
2018 EDBA Junior Open,2017 EDBA Fall Junior Open,57
2017 EDBA Fall Junior Open,2018 EDBA Open,7
UCLA Bruin Open 2019,2020 Yonex Anteater Collegiate Championships,115
UCLA Bruin Open 2019,CSU Long Beach Open 2020,27
Little Saigon Spring Open 2018,Little Saigon Open 2017,24
2019 Baddixx David Cup,Kalayaan Cup 2018,68
2019 Baddixx David Cup,2019 PBCA Li-Ning Autumn Mix,45
BCC 7th Anniversary Tournament 2018,2017 LABC Thanksgiving Tournament,38
2019 YONEX HANA Series Challenge,2019 SOCAL ARENA CLOSED REGIONAL CHAMPIONSHIPS,69
2019 YONEX HANA Series Challenge,2022 HANA Series Challenge,26
2019 LABC Chinese New Year,2018 LABC Summer Bash,75
2014 KALAYAAN CUP - Sponsored by Badminton Depot,MERDEKA CUP 2014,24
BCC Spring Classic 2013,BCC Winter Challenge 2012,33
2017 LABC Thanksgiving Tournament,2018 LABC Summer Bash,79
2017 LABC Thanksgiving Tournament,LABC Closed Regional Championships,60
2019 Back 2 School YONEX LFB JR,2019 SMASH! BADMINTON SAN DIEGO OPEN LOCAL CHAMPIONSHIPS,24
2022 MBBC Junior International Championship,2022 SOCAL SGVBC CLOSED REGIONAL CHAMPIONSHIPS,35
2015 ECBC Junior Open,2015 New England Junior Open Championships,66
2015 New Jersey Junior Open Championships,2015 IBC Junior Championship - 10% Ranking - Zhiyu Cup,79
2016 DC Junior Open,2016 IBC Junior Championships,59
2017 Mid-Atlantic Badminton Classic - Powered by YONEX,2016 Mid-Atlantic Badminton Classic,27
2016 IBC Junior Championships,2016 ECBC Junior Open,54
2016 IBC Junior Championships,2017 DC Junior Open,52
2018 NY OPEN - Downey Cup,2019 NY OPEN-Downey Cup,24
2015 IBC Junior Championship - 10% Ranking - Zhiyu Cup,2015 New England Junior Open Championships,77
2016 Boston Junior Open,2015 New England Junior Open Championships,50
2018 IBC Open,2019 New York City Open,38
2018 IBC Open,2016 Yonex IBC Open,34
2011 Kelowna Open,2012 Kelowna Open,16
2011 Kelowna Open,Kelowna Open 2010,14
2011 Kelowna Open,Kelowna Open 2023,7
MONNIS Mongolia International Challenge 2022,BNI Indonesia Masters I 2023,27
YONEX Belgian International 2022,YONEX Dutch Open 2022,101
2023 YONEX Canadian International Challenge,YONEX Canadian International Challenge 2022 (New dates),64
2023 YONEX Canadian International Challenge,2019 Ryerson Summer Open,11
YONEX Swiss Open 2023,Madrid Spain Masters 2023,135
Orléans Masters Badminton 2023 presented by VICTOR,Madrid Spain Masters 2023,150
Madrid Spain Masters 2024 by IBERDROLA,Orleans Masters Badminton presented by VICTOR 2024,103
2022 YONEX USA Badminton National Adult Championships,2023 YONEX USA BADMINTON ADULT NATIONAL CHAMPIONSHIPS,41
Guatemala International Challenge 2023,Guatemala International Series 2023,30
Guatemala International Challenge 2023,VIII Guatemala International Series 2022,29
Guatemala International Challenge 2023,III Mexico Future Series 2023,28
Guatemala International Challenge 2023,Trinidad & Tobago International 2023,25
IV El Salvador International 2022,XIII Mexican International 2022,50
YONEX Taipei Open 2023,VICTOR Kaohsiung Masters 2024,105
YONEX Taipei Open 2023,PERODUA Malaysia Masters 2024,91
Czech Open 2022,VICTOR Croatian International 2022,84
XXVI YONEX Pan Am Individual Championships 2023,XIX Panamerican Games Santiago 2023,68
XXVI YONEX Pan Am Individual Championships 2023,XII Santo Domingo Open 2022 (New dates),40
XXVI YONEX Pan Am Individual Championships 2023,Venezuela International 2023,25
XXVI YONEX Pan Am Individual Championships 2023,XXI Torneo Internacional de Badminton Giraldilla de La Habana 2023,15
Nantes International Challenge 2022,VICTOR Denmark Masters 2022 (New dates),87
Nantes International Challenge 2022,YONEX Bonn International 2022,77
YONEX Dutch Open 2022,YONEX Belgian International 2023,90
XXVII YONEX Pan Am Individual Championships 2024,VII Guatemala Junior International 2021,14
XIII Mexican International 2022,II Mexico Future Series 2022,22
2013 New Jersey Junior Championships Super Regional,2013 New England Junior Open (NEJO),83
2015 SoCal Regional Junior Ranking Tournament,2015 Dave Freeman Junior Tournament,43
2015 Yonex IBC Open,2016 Yonex IBC Open,31
2015 Yonex IBC Open,2015 Yonex IBC Challenge,23
2015 Yonex IBC Open,2016 IBC Spring Challenge,20
Egret Jr Badminton Tournament - 8-9 Nov 2014,2015 MBC Midwest Regional Championship,76
Egret Jr Badminton Tournament - 8-9 Nov 2014,2015 Egret Juniors Open,48
Egret Jr Badminton Tournament - 8-9 Nov 2014,2014 Midwest Regional Junior Championships,43
2022 IBC Open,IBC Open Super Series 2022,36
2014 MBC Summer Jr Tournament (10%),2015 MBC Midwest Regional Championship,52
2015 SPBA Jr. National Ranking Tournament,2015 MBC Midwest Regional Championship,68
2023 California State Games,2022 California State Games,69
2023 California State Games,SDBC Women's Doubles,11
2022 Yonex Anteater Collegiate Championships,2023 Yonex Anteater Collegiate Championships,69
2023 Schafer Badminton Tournament,XMASHAN sa Houston 2023,39
2023 Schafer Badminton Tournament,One Stop Outdoor Construction Badminton Tournament,35
Badminton NC Open 2016,2016 SNP OPEN,52
Badminton NC Open 2016,BNC Club Championship 2016,13
Badminton NC Open 2016,2015 Greater Carolina Kerala Association Badminton Tournament,4
Little Saigon Tet Tournament 2022,The 5th OC Badminton Tournament,25
2016 PBLV Badminton Open,Serve2Serve 2016,15
2016 PBLV Badminton Open,2017 Sin City Shootout,13
2016 PBCA BADBOYS TOURNAMENT,2016 David Cup,44
2019 SD Rookie Tournament,2022 California State Games,8
Kalayaan Cup 2018,2017 PBCA Kalayaan Cup,96
Kalayaan Cup 2018,2019 PBCA Kalayaan Cup,78
Kalayaan Cup 2018,2018 PBCA Playing with my BES!,70
Kalayaan Cup 2018,2018 PBCA BADBOYS TOURNAMENT,63
Kalayaan Cup 2018,PBCA Summer Clash!,61
Kalayaan Cup 2018,PBCA Oktoberfest 2018 Toma-ment,58
Kalayaan Cup 2018,2019 Play with my Bes,49
Kalayaan Cup 2018,2018 David Cup,49
Kalayaan Cup 2018,Arena Team Invitational 2019,32
2018 LABC Summer Bash,BCC Open 2018,28
2018 LABC Summer Bash,2018 OCBC Autumn Challenge,18
Yonex -Sunrise Bangladesh Open International Badminton Challenge 2015,11TH SOUTH ASIAN GAMES DHAKA 2010,8
ANNAPURNA Nepal International Series 2019,YONEX SUNRISE Nepal International Series 2018,27
ANNAPURNA Nepal International Series 2019,Bangladesh International Junior 2016 (U19),6
YONEX SUNRISE Pakistan International Series 2019,YONEX SUNRISE Pakistan International Series 2017,29
YONEX SUNRISE Nepal International Series 2018,YONEX - SUNRISE Bangladesh International Challenge,49
51st Portuguese International 2016,50th Portuguese International 2015,63
56 Portuguese International Championships 2021 (New dates),IBERDROLA Spanish International 2021,67
56 Portuguese International Championships 2021 (New dates),YONEX Slovenia International 2021,66
56 Portuguese International Championships 2021 (New dates),55 Portuguese International Championships 2020 (New Dates),43
Egypt International 2019,Egypt International 2017,38
Egypt International 2019,Algeria International 2019,28
Egypt International 2019,Egypt International 2022,25
Romanian International 2016,Slovenia International 2016,37
Italian International 2022,VICTOR Denmark Masters 2022 (New dates),168
Italian International 2022,Austrian Open 2022,87
Italian International 2022,Polish Open 2022,72
58 Portugal International Championships 2023,59 Portugal International Championships 2024,112
58 Portugal International Championships 2023,57 Portugal International Championships 2022,90
58 Portugal International Championships 2023,DECATHLON PERFLY Italian International 2021,77
58 Portugal International Championships 2023,RSL Iceland International 2023,65
Norwegian International 2017,Norwegian International 2016,64
YONEX Estonian International 2020,YONEX Estonian International 2019,92
Benin International 2019,Cote d'ivoire International 2019,38
Benin International 2019,Bénin International 2022,29
Benin International 2019,Benin International 2018,21
Peru International 2021,Perú Future Series 2020,27
Austrian Open 2022,YONEX Slovenia International 2022,117
Polish International 2018,LI NING Czech Open 2018,76
Polish International 2018,YONEX Polish International 2019,74
Polish International 2018,VICTOR Polish International 2017,65
54 Portuguese International Championships 2019,Austrian Open 2019,98
54 Portuguese International Championships 2019,53 Portuguese International Championships,73
54 Portuguese International Championships 2019,FZ FORZA Slovak Open 2019,71
54 Portuguese International Championships 2019,AIG FZ FORZA Irish Open 2018,59
54 Portuguese International Championships 2019,Hellas Open 2018,54
Kawasaki Vietnam International Series 2016,Kawasaki - Biere Larue Vietnam International Series 2014,54
Yonex- Sunrise Pakistan International Series 2016,YONEX SUNRISE Pakistan International Series 2017,31
Nepal International Series 2016,Yonex Sunrise Bangladesh International Challenge 2016,30
Yonex Sunrise Bangladesh International Challenge 2016,YONEX - SUNRISE Bangladesh International Challenge,31
FZ FORZA Slovak Open 2020,LI-NING Czech Open 2019,90
FZ FORZA Slovak Open 2020,FZ FORZA Slovak Open 2019,89
FZ FORZA Slovak Open 2020,VICTOR Slovenia Future Series 2019,71
YONEX - SUNRISE Bangladesh International Challenge,YONEX SUNRISE Bangladesh International Challenge 2019,30
Bahrain International Challenge 2013,Bahrain International Series 2013,74
Bahrain International Challenge 2013,Bahrain Open Badminton Tournament 2012,5
Welsh International Badminton Championships 2022,AIG FZ FORZA Irish Open 2022,142
Welsh International Badminton Championships 2022,YONEX Welsh International Badminton Championships 2023,114
Uganda International 2013,Uganda International 2018,23
Uganda International 2013,Roofings Uganda International 2010,18
Kenya International 2020,Uganda International 2021,33
Egypt International 2022,Egypt International 2023,56
Egypt International 2022,Uganda International Challenge 2023,46
Babolat Bulgarian International 2016,Hellas International 2017,30
LI NING Maldives International Challenge 2022,INFOSYS FOUNDATION India International Challenge 2022,47
The Indian Club Centenary Li-Ning Bahrain International Challenge 2014,Bahrain International Series 2014,14
White Nights 2019,White Nights 2017,66
ALSHARIF GROUP Bahrain International Challenge 2022,Bahrain International Series 2022,91
ALSHARIF GROUP Bahrain International Challenge 2022,India Chattisgarh International Challenge 2022,74
INFOSYS FOUNDATION India International Challenge 2022,India Chattisgarh International Challenge 2022,269
INFOSYS FOUNDATION India International Challenge 2022,Maldives International Series 2023,45
INFOSYS FOUNDATION India International Challenge 2022,Bahrain International Challenge 2023,39
Bahrain International Challenge 2023,Bahrain International Series 2023,52
India Chattisgarh International Challenge 2022,INFOSYS FOUNDATION India International Challenge 2021,179
India Chattisgarh International Challenge 2022,Odisha Open 2022,64
India Chattisgarh International Challenge 2022,LI NING Sri Lanka International Series 2024,52
India Chattisgarh International Challenge 2022,Cameroon International 2022,21
LI-NING Sydney International 2017,TUI MEDICAL Waikato International 2017,43
LI-NING Sydney International 2017,Li-Ning Australian Junior International 2017,42
Victor Croatian International 2016,FZ FORZA Slovenia International 2017,52
Victor Croatian International 2016,Victor Croatian International 2017,50
Victor Croatian International 2016,Yonex Slovak Open 2015,49
Ethiopia International 2017,Uganda International 2018,24
Ethiopia International 2017,Ethiopia International 2012,9
37th Yonex Hungarian International Championships 2012,Li-Ning Romanian International 2013,55
YONEX Dutch Open 2017,Spanish International 2017,76
ASIAN Games 2022 (Individual Event),Mongolia International Series 2017,8
Abu Dhabi Masters 2023,Orleans Masters Badminton presented by VICTOR 2024,58
Korea Open Badminton Championships 2022,2022 Gwangju YONEX Korea Masters,92
TOYOTA Thailand Open 2024,PERODUA Malaysia Masters 2024,160
BNI Indonesia Masters I 2023,XPORA Indonesia International Challenge 2023,136
BNI Indonesia Masters I 2023,VICTOR Kaohsiung Masters 2024,102
YONEX Bendigo International 2023,Sydney International 2023,79
Sydney International 2023,YONEX Sydney International 2022,50
Sydney International 2023,SATHIO GROUP Australian Open 2024,46
Wilson Hellas International 2014,Hellas International 2015,37
RSL Swedish Open 2019,YONEX Estonian International 2019,94
RSL Swedish Open 2019,VICTOR Swedish Open 2020,93
RSL Swedish Open 2019,LI-NING Denmark Challenge 2019,84
RSL Swedish Open 2019,Norwegian International 2018,61
Orleans Masters 2018,Finnish Open 2018,95
Portuguese International 2013,49th Portuguese International Championships,56
Iceland International 2015,Iceland International 2014,48
Iceland International 2015,50th Portuguese International 2015,34
Iceland International 2012,Iceland International 2014,39
2021 European Championships,2022 European Championships,124
43rd YONEX Hungarian International Championships 2018,Austrian Open 2019,75
Austrian Open 2018,Austrian Open 2019,75
50th Portuguese International 2015,49th Portuguese International Championships,71
Finnish Open 2019,YONEX Estonian International 2019,84
Finnish Open 2019,Austrian Open 2019,79
49th Portuguese International Championships,3rd VICTOR Portuguese International Junior Championships,17
Austrian Open 2019,FZ FORZA Slovenia International 2017,69
Danish Junior Cup 2012,YONEX BELGIAN JUNIOR 2012,34
Danish Junior Cup 2012,Danish Junior Cup 2013,32
AIG FZ FORZA Irish Open 2023,YONEX Welsh International Badminton Championships 2023,133
AIG FZ FORZA Irish Open 2023,2024 European Championships,94
AIG FZ FORZA Irish Open 2023,FZ FORZA Dutch International 2022,72
2022 European Championships,2023 European Games,111
2022 European Championships,2024 European Championships,110
2024 European Championships,Azerbaijan International 2024,49
Slovenia International 2016,FZ FORZA Slovenia International 2017,65
VICTOR Slovenia Future Series 2018,VICTOR Slovenia Future Series 2019,60
52nd Portuguese International 2017,53 Portuguese International Championships,68
FZ Forza Slovenia International 2014,FORZA Slovenia International 2013,67
PERODUA Malaysia Masters 2024,SATHIO GROUP Australian Open 2024,54
2011 World Police & Fire Games in New York,World Police And Fire Games 2015 Badminton,24
U17 Danish Junior Cup 2018,Swedish Youth Games U17 2018,63
U17 Danish Junior Cup 2018,YONEX Dutch Junior International 2020,49
2022 EGRET MIDWEST CLOSED REGIONAL CHAMPIONSHIPS,2023 MBC MIDWEST OPEN LOCAL CHAMPIONSHIPS,112
2022 EGRET MIDWEST CLOSED REGIONAL CHAMPIONSHIPS,2022 North Shore Open,61
2022 North Shore Open,2021 North Shore Open,30
2017 SGVBC Spring Junior Open,2017 LABC Junior Open,92
2017 SGVBC Spring Junior Open,2017 SGVBC Junior Open,85
2017 SGVBC Spring Junior Open,2016 Spring Break LFB JR Tournament,52
IX International Mexicano 2018,V HERBALIFE International Series Mayor 2018,57
IX International Mexicano 2018,X Internacional Mexicano 2019,40
IX International Mexicano 2018,I Mexico Future Series 2019,32
IX International Mexicano 2018,IV YONEX Mexican International U19 2018,21
2023 EGRET MIDWEST OPEN LOCAL CHAMPIONSHIPS,2024 MBC MIDWEST CLOSED REGIONAL CHAMPIONSHIPS,111
2023 EGRET MIDWEST OPEN LOCAL CHAMPIONSHIPS,2023 MBC MIDWEST OPEN LOCAL CHAMPIONSHIPS,98
2023 EGRET MIDWEST OPEN LOCAL CHAMPIONSHIPS,North Shore Open 2023,65
2023 EGRET MIDWEST OPEN LOCAL CHAMPIONSHIPS,2024 Illinois Spring Open,56
2023 EGRET MIDWEST OPEN LOCAL CHAMPIONSHIPS,CBA-Yonex Open 2023,46
2023 EGRET MIDWEST OPEN LOCAL CHAMPIONSHIPS,JDL-EPS5 READY FOR OLC,19
2023 EGRET MIDWEST OPEN LOCAL CHAMPIONSHIPS,JDL-EPS6 new year new venture,8
XXVIII Pan Am Junior Championships U11/U19,XXVIII Pan Am junior Championships U19,61
XXVIII Pan Am Junior Championships U11/U19,XXX Pan Am Junior Championships 2022 (U13 - U19),52
XXVIII Pan Am Junior Championships U11/U19,Canadian Junior International 2019,33
XXVIII Pan Am Junior Championships U11/U19,3er Circuito Junior Federado Araucania 2016 Fecha 4,6
2023 MBC MIDWEST OPEN LOCAL CHAMPIONSHIPS,2023 YONEX SPBA MIDWEST OPEN REGIONAL CHAMPIONSHIPS,123
2023 MBC MIDWEST OPEN LOCAL CHAMPIONSHIPS,JDL-EPS1-SINGLES,28
2023 MBC MIDWEST OPEN LOCAL CHAMPIONSHIPS,November Wild Card Ranking,23
2023 MBC MIDWEST OPEN LOCAL CHAMPIONSHIPS,Spring 23 Wild Card,18
2023 YONEX SPBA MIDWEST OPEN REGIONAL CHAMPIONSHIPS,2023 NORTHEAST NJBC OPEN LOCAL CHAMPIONSHIPS,89
2023 YONEX SPBA MIDWEST OPEN REGIONAL CHAMPIONSHIPS,2023 MBC Chicago Open,46
VI Argentina International 2018,Argentina Junior U19 International 2017,21
2019 USBDF SoCal CLOSED REGIONAL CHAMPIONSHIPS,Smash! Open Local Championships,89
2019 USBDF SoCal CLOSED REGIONAL CHAMPIONSHIPS,2019 Yonex Dave Freeman Jr. Open Local Championships,82
2019 USBDF SoCal CLOSED REGIONAL CHAMPIONSHIPS,2018 MBBC Jr International,27
NJBC March Madness 2024,2024 IBC/Midea Open,38
2023 IBC OPEN SUPER SERIES,2023 IBC Spring Challenge,42
2023 IBC OPEN SUPER SERIES,"2023 IBC Winter Challenge Level C, D",24
New England Junior Open (NEJO) Super Regional 2012,2013 New England Junior Open (NEJO),69
Li-Ning Oklahoma Badminton Open 2013,Oklahoma Badminton Open 2012,36
2015 New England Junior Open Championships,2014 New England Junior Open (NEJO),87
2014 New Jersey Junior Championships Super Regional,MDJO2014,86
2014 New Jersey Junior Championships Super Regional,2013 Yonex IBC Junior Championship - 10% Ranking,57
2014 New Jersey Junior Championships Super Regional,2012 MAC Junior Championships,55
UC Santa Barbara Winter Open 2020,2020 Yonex Anteater Collegiate Championships,20
MDJO2013,MDJO2014,87
2012 MAC Junior Championships,2012 YONEX CPBC Junior Championships (Regional Junior Ranking Tournament),35
2014 USBDF Winter Junior Internationals U19,2014 SoCal Regional Junior Ranking Tournament,14
2014 USBDF Winter Junior Internationals U19,2014 USBDF Year-End Junior International U19,8
Pilot Pen National Age Group Singles 2013,Pilot Pen National Age Group Singles 2014,113
Pilot Pen National Age Group Singles 2013,National Junior Championships 2013,34
Pilot Pen National Age Group Singles 2013,OUE Singapore Youth International Series 2017,19
2013 MBBC Jr International,2014 MBBC Jr International,22
2013 MBBC Jr International,YONEX Mexican International U19 2014,7
Carebaco Junior International 2013,Carebaco International 2013,8
2014 SoCal Regional Junior Ranking Tournament,2014 MBBC Jr International,47
ECBC Junior Open 2014,MDJO2014,48
Mid-Atlantic_Jrs Collegiate 2014,MDJO2014,76
Mid-Atlantic_Jrs Collegiate 2014,Mid-Atlantic_Jrs_DEC2011,30
